Region,Sessions,% New Sessions,New Users,Avg. Session Duration
Alabama,9,100.00%,9,8.44
Alaska,5,80.00%,4,20.00
Arizona,73,36.99%,27,444.78
Arkansas,52,92.31%,48,142.38
California,314,58.28%,183,430.48
Colorado,90,87.78%,79,370.84
Connecticut,17,82.35%,14,43.41
Delaware,6,100.00%,6,1498.50
District of Columbia,13,84.62%,11,393.62
Florida,313,36.74%,115,1250.57
Georgia,43,93.02%,40,78.49
Hawaii,34,64.71%,22,143.26
Idaho,2,100.00%,2,49.50
Illinois,701,37.09%,260,2962.25
Indiana,22,90.91%,20,1246.95
Iowa,6,100.00%,6,358.17
Kansas,11,100.00%,11,0.00
Kentucky,26,69.23%,18,36.73
Louisiana,9,88.89%,8,15.44
Maine,21,23.81%,5,40.81
Maryland,267,11.61%,31,1934.94
Massachusetts,56,73.21%,41,102.82
Michigan,251,31.47%,79,1048.21
Minnesota,258,53.49%,138,603.43
Mississippi,27,100.00%,27,612.59
Missouri,82,31.71%,26,829.51
Montana,3,100.00%,3,15.00
Nebraska,10,80.00%,8,84.80
Nevada,64,87.50%,56,631.84
New Hampshire,45,53.33%,24,1751.64
New Jersey,61,88.52%,54,196.92
New Mexico,10,70.00%,7,39.40
New York,142,65.49%,93,342.90
North Carolina,72,91.67%,66,277.79
North Dakota,12,16.67%,2,2483.33
Ohio,77,66.23%,51,255.66
Oklahoma,38,36.84%,14,923.21
Oregon,253,40.32%,102,2974.66
Pennsylvania,50,92.00%,46,374.90
Rhode Island,48,58.33%,28,555.00
South Carolina,90,90.00%,81,311.16
South Dakota,8,50.00%,4,185.88
Tennessee,137,21.90%,30,651.88
Texas,217,63.59%,138,137.77
Utah,64,79.69%,51,52.23
Vermont,13,61.54%,8,861.15
Virginia,112,77.68%,87,358.64
Washington,53,88.68%,47,330.42
West Virginia,66,28.79%,19,386.86
Wisconsin,927,53.51%,496,626.14
Wyoming,1,100.00%,1,0.00
